Codigo DANE,Municipio Productor,Departamento,Recurso Natural,Nombre Del Proyecto,Año Produccion,Trimestre,Unidad Medida,Tipo Contraprestacion,Valor Contraprestacion ,Cantidad Producción
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 1,TONELADAS,REGALIA,29113583,4069
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 1,TONELADAS,REGALIA,122838878,23309
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 1,TONELADAS,REGALIA,119808689,28008
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 1,TONELADAS,REGALIA,165165382,42968
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2015,Trimestre 1,TONELADAS,REGALIA,73748476,17773
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2016,Trimestre 1,TONELADAS,REGALIA,52793044,11579
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 1,TONELADAS,REGALIA,9469174,1912
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2018,Trimestre 1,TONELADAS,REGALIA,36262631,6709
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 1,TONELADAS,REGALIA,80173667,11205
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2020,Trimestre 1,TONELADAS,REGALIA,31725709,270
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 2,TONELADAS,REGALIA,10908672,2214
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 2,TONELADAS,REGALIA,19945351,4064
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 2,TONELADAS,REGALIA,92134610,17071
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 2,TONELADAS,REGALIA,68250531,17635
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2015,Trimestre 2,TONELADAS,REGALIA,85669028,19405
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2016,Trimestre 2,TONELADAS,REGALIA,97375048,20930
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 2,TONELADAS,REGALIA,17777014,3622
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2018,Trimestre 2,TONELADAS,REGALIA,87337440,15880
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 2,TONELADAS,REGALIA,50642376,6085
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2020,Trimestre 2,TONELADAS,REGALIA,26208444,3657
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2018,Trimestre 3,TONELADAS,REGALIA,17870799,3165
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 3,TONELADAS,REGALIA,134329659,176936
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 3,TONELADAS,REGALIA,110483013,30657
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 3,TONELADAS,REGALIA,225318131,55973
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2015,Trimestre 3,TONELADAS,REGALIA,126310135,30961
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2016,Trimestre 3,TONELADAS,REGALIA,139879407,28601
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 3,TONELADAS,REGALIA,15159278,3004
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2018,Trimestre 3,TONELADAS,REGALIA,50063364,8866
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 3,TONELADAS,REGALIA,56745568,6412
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2020,Trimestre 3,TONELADAS,REGALIA,16869373,2461
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 4,TONELADAS,REGALIA,5979494,1185
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 4,TONELADAS,REGALIA,63707523,6959
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 4,TONELADAS,REGALIA,702435755,20606
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 4,TONELADAS,REGALIA,441173855,120132
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 4,TONELADAS,REGALIA,823847300,211308
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2015,Trimestre 4,TONELADAS,REGALIA,222372410,51638
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2016,Trimestre 4,TONELADAS,REGALIA,68990054,14209
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 4,TONELADAS,REGALIA,5744403,1160
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2018,Trimestre 4,TONELADAS,REGALIA,53195607,8741
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 4,TONELADAS,REGALIA,123873043,13531
05030,Amaga,Antioquia,CARBON,PRODUCTORES,2020,Trimestre 4,TONELADAS,REGALIA,39521032,6001
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 1,TONELADAS,REGALIA,5623564,1067
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 2,TONELADAS,REGALIA,7395499,1370
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 2,TONELADAS,REGALIA,7395501,2052
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 3,TONELADAS,REGALIA,7215853,1463
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 3,TONELADAS,REGALIA,6194584,700
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 4,TONELADAS,REGALIA,2007378,219
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 4,TONELADAS,REGALIA,41833746,4389
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 4,TONELADAS,REGALIA,64275258,16743
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 4,TONELADAS,REGALIA,27626359,1676
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2015,Trimestre 4,TONELADAS,REGALIA,1102975,257
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2016,Trimestre 4,TONELADAS,REGALIA,8527348,1732
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2017,Trimestre 4,TONELADAS,REGALIA,3693775,699
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 4,TONELADAS,REGALIA,151696,17
05036,Angelopolis,Antioquia,CARBON,PRODUCTORES,2020,Trimestre 4,TONELADAS,REGALIA,2025350,308
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 1,TONELADAS,REGALIA,2058093,391
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 1,TONELADAS,REGALIA,1317672,308
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 1,TONELADAS,REGALIA,4082875,1008
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 2,TONELADAS,REGALIA,4624332,857
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 2,TONELADAS,REGALIA,4598850,884
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 3,TONELADAS,REGALIA,162630,72363
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 3,TONELADAS,REGALIA,2566446,712
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 3,TONELADAS,REGALIA,6712593,1668
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2012,Trimestre 4,TONELADAS,REGALIA,287282581,0
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2013,Trimestre 4,TONELADAS,REGALIA,132694222,36457
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2014,Trimestre 4,TONELADAS,REGALIA,68254716,18258
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2015,Trimestre 4,TONELADAS,REGALIA,86549290,20412
05282,Fredonia,Antioquia,CARBON,PRODUCTORES,2016,Trimestre 4,TONELADAS,REGALIA,5240249,1136
05761,Sopetran,Antioquia,CARBON,PRODUCTORES,2019,Trimestre 2,TONELADAS,REGALIA,416150,50
